antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Incident_Auto, Weekday",Priority_Priority3,0.02428,0.18924,0.02092,0.8616144975288303,4.553025245872069,1.0,0.016325252800000002,5.858706190476192,0.7997845822771932,0.10861889927310489,0.8293138506201962,0.4860809752493021
Incident_Auto,Priority_Priority3,0.03332,0.18924,0.02866,0.8601440576230492,4.545255007519812,1.0,0.0223545232,5.797107982832619,0.8068754313112778,0.1478081485301702,0.827500194413944,0.5057959772368047
Incident_Disorderly,Priority_Priority3,0.03508,0.18924,0.03012,0.8586088939566705,4.537142749718192,1.0,0.0234814608,5.73416548387097,0.8079394893996951,0.15509783728115348,0.8256067072335469,0.5088859308083923
"Weather_Partly Cloudy, Incident_Disorderly",Priority_Priority3,0.0161,0.18924,0.01382,0.858385093167702,4.535960120311255,1.0,0.010773236,5.725103508771934,0.792295464945095,0.07215956558061822,0.8253306689620874,0.4657070255523566
"Incident_Disorderly, Temp_Warm",Priority_Priority3,0.0128,0.18924,0.01096,0.85625,4.524677658000423,1.0,0.008537728,5.64006956521739,0.789090134746655,0.0573581745865606,0.8226972223592678,0.4570829370112027
Incident_Disorderly,"Priority_Priority3, Temp_Warm",0.03508,0.0691,0.01096,0.3124287343215507,4.521399917822731,1.0,0.008535972,1.3538960199004975,0.8071441798737674,0.11757133662304226,0.2613908414669145,0.23551972171938607
Incident_Auto,"Priority_Priority3, Temp_Warm",0.03332,0.0691,0.01036,0.3109243697478991,4.49962908462951,1.0,0.008057588,1.3509402439024392,0.8045676536800798,0.11253530306321963,0.25977480905349565,0.2304260054238772
"Weather_Clear, Incident_Auto",Priority_Priority3,0.01292,0.18924,0.01098,0.8498452012383901,4.490832811447845,1.0,0.0085350192,5.399494432989693,0.7874986353745032,0.05743278585626112,0.8147974755024794,0.4539333805811481
"Temp_Mild, Incident_Disorderly",Priority_Priority3,0.01314,0.18924,0.01116,0.8493150684931506,4.4880314335930604,1.0,0.0086733864,5.38049818181818,0.7875333495027893,0.058362096015061184,0.8141436041407453,0.4541439007652817
"Incident_Disorderly, Weekday",Priority_Priority3,0.02278,0.18924,0.0193,0.8472344161545216,4.477036652687178,1.0,0.014989112800000001,5.307216321839082,0.794742196139986,0.1001452885014529,0.8115773054350505,0.4746106555513677
Incident_Shoot/Stab,Priority_Priority1,0.02106,0.17684,0.01616,0.7673314339981008,4.339128217587088,1.0,0.0124357496,3.5379080816326547,0.7860941021881214,0.08891823484098163,0.7173470941227718,0.4293567371302424
Incident_Auto,"Weather_Clear, Priority_Priority3",0.03332,0.077,0.01098,0.32953181272509,4.279633931494676,1.0,0.00841436,1.3766499552372427,0.7927495705165701,0.1105294946647876,0.27359893036304445,0.23606460766124632
Incident_Disorderly,"Priority_Priority3, Weekday",0.03508,0.13486,0.0193,0.5501710376282782,4.079571686402775,1.0,0.014569111200000002,1.9232643346007605,0.7823200140729539,0.12812002124269783,0.480050671137941,0.3466412061936438
